subregion,avg_temp,month
mcmullen,13.608938547486034,Feb
madison,11.054054054054054,Feb
marion,9.342857142857143,Feb
martin,8.281060606060606,Feb
mason,9.552238805970148,Feb
matagorda,13.10718954248366,Feb
maverick,13.812777777777777,Feb
medina,12.716111111111111,Feb
menard,9.4992,Feb
midland,8.792481203007519,Feb
milam,11.23758865248227,Feb
mills,9.470873786407767,Feb
mitchell,8.23939393939394,Feb
montague,7.894160583941606,Feb
montgomery,11.442207792207792,Feb
moore,3.736153846153846,Feb
morris,8.617948717948718,Feb
motley,6.134693877551021,Feb
nacogdoches,9.827272727272728,Feb
navarro,9.758709677419354,Feb
newton,10.428455284552845,Feb
nolan,8.080714285714286,Feb
nueces,15.075238095238095,Feb
ochiltree,3.488811188811189,Feb
oldham,4.364069264069264,Feb
orange,11.65576923076923,Feb
palo pinto,8.496052631578948,Feb
panola,9.458730158730159,Feb
parker,8.706060606060605,Feb
parmer,4.4148148148148145,Feb
pecos,9.686725663716814,Feb
polk,10.64140127388535,Feb
potter,4.630769230769231,Feb
presidio,9.56326530612245,Feb
rains,7.926315789473684,Feb
randall,4.613846153846154,Feb
reagan,8.341935483870968,Feb
real,9.830337078651686,Feb
red river,7.825949367088608,Feb
reeves,9.818947368421053,Feb
refugio,14.245544554455446,Feb
roberts,4.22,Feb
robertson,11.37983193277311,Feb
rockwall,8.135,Feb
runnels,9.055128205128206,Feb
rusk,9.250393700787402,Feb
sabine,9.639285714285714,Feb
san augustine,9.718072289156627,Feb
san jacinto,10.695652173913043,Feb
san patricio,14.561855670103093,Feb
san saba,9.521739130434783,Feb
schleicher,9.757777777777777,Feb
scurry,7.838333333333333,Feb
shackelford,8.355384615384615,Feb
shelby,9.32991452991453,Feb
sherman,3.413286713286713,Feb
smith,9.11897810218978,Feb
somervell,9.248148148148148,Feb
starr,15.876969696969697,Feb
stephens,7.9,Feb
sterling,8.25040650406504,Feb
stonewall,7.5975,Feb
sutton,10.023181818181818,Feb
swisher,4.5755244755244755,Feb
tarrant,8.953787878787878,Feb
taylor,8.45111111111111,Feb
terrell,10.639156626506024,Feb
terry,6.354918032786885,Feb
throckmorton,7.611666666666666,Feb
titus,7.9879310344827585,Feb
tom green,9.674090909090909,Feb
travis,11.259154929577464,Feb
trinity,10.543564356435644,Feb
tyler,10.734057971014492,Feb
upshur,8.7,Feb
upton,9.40782122905028,Feb
uvalde,12.018552036199095,Feb
val verde,11.860747663551402,Feb
van zandt,8.671900826446281,Feb
victoria,13.719658119658119,Feb
walker,10.901941747572815,Feb
waller,11.673239436619719,Feb
ward,9.350847457627118,Feb
washington,11.855294117647059,Feb
webb,14.814775160599572,Feb
wharton,12.476315789473684,Feb
wheeler,4.76993006993007,Feb
wichita,7.243877551020408,Feb
wilbarger,6.699264705882353,Feb
willacy,16.01168831168831,Feb
williamson,10.565,Feb
wilson,12.7,Feb
winkler,9.048695652173913,Feb
wise,8.14140625,Feb
wood,8.179411764705883,Feb
yoakum,6.036666666666667,Feb
young,7.811538461538461,Feb
zapata,15.359863945578232,Feb
zavala,13.403743315508022,Feb
anderson,14.82258064516129,Mar
andrews,12.523333333333333,Mar
angelina,14.576271186440678,Mar
aransas,17.946666666666665,Mar
archer,12.610489510489511,Mar
armstrong,8.803846153846154,Mar
atascosa,17.515168539325842,Mar
austin,15.968131868131868,Mar
bailey,8.81,Mar
bandera,15.16504854368932,Mar
bastrop,15.719491525423729,Mar
baylor,12.152272727272727,Mar
bee,17.958196721311477,Mar
bell,14.638709677419355,Mar
bexar,16.307734806629835,Mar
blanco,14.57047619047619,Mar
borden,12.18923076923077,Mar
bosque,13.906164383561643,Mar
bowie,12.682575757575759,Mar
brazoria,16.464615384615385,Mar
brazos,15.69875,Mar
brewster,14.516529894490036,Mar
briscoe,9.306293706293706,Mar
brooks,19.4784,Mar
brown,13.418248175182482,Mar
burleson,15.775,Mar
burnet,14.15448275862069,Mar
caldwell,15.892207792207792,Mar
calhoun,17.638,Mar
callahan,12.979545454545455,Mar
cameron,19.953846153846154,Mar
camp,13.08125,Mar
carson,8.47972027972028,Mar
cass,13.162142857142857,Mar
castro,8.282945736434108,Mar
chambers,16.17763157894737,Mar
cherokee,14.518666666666666,Mar
childress,11.125,Mar
clay,12.317575757575758,Mar
cochran,9.218181818181819,Mar
coke,13.045238095238096,Mar
coleman,13.57784090909091,Mar
collin,12.697637795275591,Mar
collingsworth,10.317692307692308,Mar
colorado,16.109848484848484,Mar
comal,15.37625,Mar
comanche,13.303597122302158,Mar
concho,14.007801418439715,Mar
cooke,12.356060606060606,Mar
coryell,14.000645161290322,Mar
cottle,11.152985074626866,Mar
crane,14.0784,Mar
crockett,14.362740384615385,Mar
crosby,10.407407407407407,Mar
culberson,11.975,Mar
dallam,6.802164502164502,Mar
dallas,13.5007299270073,Mar
dawson,11.4775,Mar
deaf smith,8.003333333333334,Mar
delta,12.31860465116279,Mar
denton,12.845454545454546,Mar
de witt,17.136290322580646,Mar
dickens,10.862857142857143,Mar
dimmit,18.561176470588236,Mar
donley,9.475384615384616,Mar
duval,18.507488986784143,Mar
eastland,12.832867132867133,Mar
ector,13.008396946564886,Mar
edwards,14.837591240875913,Mar
ellis,13.83529411764706,Mar
el paso,11.95890410958904,Mar
erath,13.260666666666667,Mar
falls,15.039823008849558,Mar
fannin,12.070491803278689,Mar
fayette,16.045255474452556,Mar
fisher,12.819512195121952,Mar
floyd,9.41969696969697,Mar
foard,11.497345132743362,Mar
fort bend,16.3552,Mar
franklin,12.597368421052632,Mar
freestone,14.761666666666667,Mar
frio,17.811409395973154,Mar
gaines,11.522510822510823,Mar
galveston,16.369767441860464,Mar
garza,11.483870967741936,Mar
gillespie,14.241935483870968,Mar
glasscock,12.576422764227642,Mar
goliad,17.86,Mar
gonzales,16.533333333333335,Mar
gray,8.678321678321678,Mar
grayson,12.116901408450705,Mar
gregg,13.565909090909091,Mar
grimes,15.627777777777778,Mar
guadalupe,16.221153846153847,Mar
hale,9.308823529411764,Mar
hall,10.582481751824817,Mar
hamilton,13.574137931034484,Mar
hansford,7.868531468531469,Mar
hardeman,11.161224489795918,Mar
hardin,15.5384,Mar
harris,16.236546184738955,Mar
harrison,13.601503759398495,Mar
hartley,7.513333333333334,Mar
haskell,12.75153846153846,Mar
hays,15.134883720930233,Mar
hemphill,8.677692307692308,Mar
henderson,14.256521739130434,Mar
hidalgo,20.226168224299066,Mar
hill,13.954676258992805,Mar
hockley,9.569127516778524,Mar
hood,13.585185185185185,Mar
hopkins,12.472413793103449,Mar
houston,14.7,Mar
howard,12.565034965034965,Mar
hudspeth,11.157404580152672,Mar
hunt,12.376422764227643,Mar
hutchinson,8.63076923076923,Mar
irion,13.611764705882353,Mar
jack,12.704615384615385,Mar
jackson,17.04491525423729,Mar
jasper,14.946527777777778,Mar
jeff davis,11.401253918495298,Mar
jefferson,15.975735294117648,Mar
jim hogg,19.217721518987343,Mar
jim wells,18.80672268907563,Mar
johnson,13.704950495049506,Mar
jones,13.107086614173229,Mar
karnes,17.401923076923076,Mar
kaufman,13.346902654867257,Mar
kendall,14.835227272727273,Mar
kenedy,19.378021978021977,Mar
kent,11.838095238095239,Mar
kerr,14.160625,Mar
kimble,13.865641025641025,Mar
king,11.507575757575758,Mar
kinney,16.614814814814814,Mar
kleberg,19.102830188679246,Mar
knox,12.166176470588235,Mar
lamar,12.161029411764705,Mar
lamb,8.922,Mar
lampasas,13.82577319587629,Mar
la salle,18.36039603960396,Mar
lavaca,16.329577464788734,Mar
lee,15.66989247311828,Mar
leon,14.943046357615895,Mar
liberty,15.771176470588236,Mar
limestone,14.63125,Mar
lipscomb,7.8783216783216785,Mar
live oak,18.104026845637584,Mar
llano,14.488636363636363,Mar
loving,13.309195402298851,Mar
lubbock,10.039393939393939,Mar
lynn,10.61796875,Mar
mcculloch,13.824242424242424,Mar
mclennan,14.263157894736842,Mar
mcmullen,18.062569832402236,Mar
madison,15.367567567567567,Mar
marion,13.557142857142857,Mar
martin,12.472727272727273,Mar
mason,14.053731343283582,Mar
matagorda,16.88300653594771,Mar
maverick,18.057222222222222,Mar
medina,16.801111111111112,Mar
menard,13.76,Mar
midland,13.026315789473685,Mar
milam,15.515602836879433,Mar
mills,13.740776699029126,Mar
mitchell,12.924242424242424,Mar
montague,12.545255474452555,Mar
montgomery,15.659090909090908,Mar
moore,7.804615384615385,Mar
morris,13.133333333333333,Mar
motley,10.56326530612245,Mar
nacogdoches,14.16853146853147,Mar
navarro,14.148387096774194,Mar
newton,14.800813008130081,Mar
nolan,12.616428571428571,Mar
nueces,18.764761904761905,Mar
ochiltree,7.891608391608392,Mar
oldham,8.22121212121212,Mar
orange,15.628846153846153,Mar
palo pinto,13.078947368421053,Mar
panola,13.765079365079366,Mar
parker,13.021212121212121,Mar
parmer,8.282222222222222,Mar
pecos,13.833038348082596,Mar
polk,14.852866242038216,Mar
potter,8.49090909090909,Mar
presidio,13.112801484230056,Mar
rains,12.810526315789474,Mar
randall,8.507692307692308,Mar
reagan,13.12258064516129,Mar
real,14.276404494382023,Mar
red river,12.318987341772152,Mar
reeves,13.483947368421052,Mar
refugio,18.03168316831683,Mar
roberts,8.523846153846154,Mar
robertson,15.40420168067227,Mar
rockwall,12.875,Mar
runnels,13.60448717948718,Mar
rusk,13.780314960629921,Mar
sabine,14.11547619047619,Mar
san augustine,14.060240963855422,Mar
san jacinto,15.048913043478262,Mar
san patricio,18.329896907216494,Mar
san saba,13.949689440993788,Mar
schleicher,13.96888888888889,Mar
scurry,12.23,Mar
shackelford,12.873846153846154,Mar
shelby,13.766666666666667,Mar
sherman,7.216083916083916,Mar
smith,13.748905109489051,Mar
somervell,13.885185185185184,Mar
starr,20.036969696969695,Mar
stephens,12.852500000000001,Mar
sterling,12.915447154471545,Mar
stonewall,12.284166666666666,Mar
sutton,14.429545454545455,Mar
swisher,8.681818181818182,Mar
tarrant,13.322727272727272,Mar
taylor,12.834814814814814,Mar
terrell,15.375602409638555,Mar
terry,10.391803278688524,Mar
throckmorton,12.57,Mar
titus,12.717241379310344,Mar
tom green,13.782272727272726,Mar
travis,15.245774647887323,Mar
trinity,14.762376237623762,Mar
tyler,14.968840579710145,Mar
upshur,13.297590361445783,Mar
upton,13.741340782122904,Mar
uvalde,16.391855203619908,Mar
val verde,16.310747663551403,Mar
van zandt,13.388429752066116,Mar
victoria,17.50769230769231,Mar
walker,15.299029126213592,Mar
waller,15.902816901408451,Mar
ward,13.634745762711864,Mar
washington,15.863529411764706,Mar
webb,18.98608137044968,Mar
wharton,16.46184210526316,Mar
wheeler,9.245454545454546,Mar
wichita,11.956122448979592,Mar
wilbarger,11.502205882352941,Mar
willacy,19.646753246753246,Mar
williamson,14.88,Mar
wilson,16.901923076923076,Mar
winkler,13.21391304347826,Mar
wise,12.884375,Mar
wood,13.02156862745098,Mar
yoakum,10.045,Mar
young,12.772307692307692,Mar
zapata,19.639455782312925,Mar
zavala,17.86470588235294,Mar
anderson,19.21483870967742,Apr
andrews,17.605238095238096,Apr
angelina,18.966101694915253,Apr
aransas,21.713333333333335,Apr
archer,17.92797202797203,Apr
armstrong,14.242307692307692,Apr
atascosa,21.84550561797753,Apr
austin,20.31098901098901,Apr
bailey,13.90909090909091,Apr
bandera,19.614563106796115,Apr
bastrop,20.230508474576272,Apr
baylor,17.612121212121213,Apr
bee,22.020491803278688,Apr
bell,19.447096774193547,Apr
bexar,20.72265193370166,Apr
blanco,19.004761904761907,Apr
borden,17.577692307692306,Apr
bosque,18.747945205479454,Apr
bowie,17.53409090909091,Apr
brazoria,20.623076923076923,Apr
brazos,19.9975,Apr
brewster,19.317116060961315,Apr
briscoe,14.838461538461539,Apr
brooks,23.5856,Apr
brown,18.4,Apr
burleson,20.08125,Apr
burnet,18.815172413793103,Apr
caldwell,20.288311688311687,Apr
calhoun,21.506,Apr
callahan,18.170454545454547,Apr
cameron,23.607692307692307,Apr
camp,17.903125,Apr
carson,13.941258741258741,Apr
cass,17.931428571428572,Apr
castro,13.474418604651163,Apr
chambers,20.45263157894737,Apr
cherokee,18.97,Apr
childress,16.73,Apr
clay,17.645454545454545,Apr
cochran,14.410743801652892,Apr
coke,18.30079365079365,Apr
coleman,18.644318181818182,Apr
collin,17.731496062992125,Apr
collingsworth,15.881538461538462,Apr
colorado,20.375757575757575,Apr
comal,19.775,Apr
comanche,18.223741007194246,Apr
concho,19.01205673758865,Apr
cooke,17.51818181818182,Apr
coryell,18.870967741935484,Apr
cottle,16.869402985074625,Apr
crane,19.16,Apr
crockett,19.198317307692307,Apr
crosby,15.87037037037037,Apr
